reference_pressure;hx711 10,1,1,1,1,
23197;-4054346
23229;-4052861
23229;-4053430
23229;-4053934
23229;-4054073
23229;-4054000
23229;-4054116
23229;-4054216
23229;-4054431
23261;-4050890
23261;-4051324
23261;-4051793
23261;-4052339
23294;-4048111
23294;-4048619
23294;-4049467
23294;-4049960
23294;-4050404
23324;-4047101
23324;-4049004
23326;-4045297
23326;-4046124
23326;-4046648
23326;-4047529
23359;-4044980
23359;-4045701
23389;-4043013
23389;-4043193
23391;-4043382
23421;-4042827
23453;-4042653
23486;-4040708
23486;-4041082
23486;-4041484
23486;-4041866
23518;-4039196
23518;-4039519
23518;-4039924
23518;-4040288
23551;-4038380
23551;-4038823
23581;-4037661
23581;-4038015
23613;-4036279
23613;-4037305
23645;-4034891
23645;-4035252
23645;-4035609
23645;-4036859
23678;-4034653
23708;-4033642
23708;-4034056
23708;-4034092
23773;-4032488
23773;-4033071
23773;-4033292
23802;-4031864
23802;-4032123
23805;-4031450
23835;-4031097
23865;-4030443
23897;-4030324
23897;-4030906
23927;-4030044
23930;-4030120
23960;-4029839
24023;-4029185
24023;-4029392
24023;-4029485
24023;-4029654
24057;-4028903
24091;-4028719
24153;-4028709
24153;-4028801
24187;-4028407
24187;-4028479
24218;-4028035
24218;-4028206
24252;-4027824
24283;-4027563
24315;-4027413
24317;-4027443
24348;-4027041
24348;-4027373
24411;-4026822
24445;-4026731
24445;-4026793
24445;-4026786
24507;-4026362
24541;-4025938
24572;-4025767
24572;-4025920
24604;-4025555
24638;-4025167
24669;-4025191
24700;-4024978
24731;-4024817
24763;-4024643
24796;-4024557
24828;-4024197
24859;-4024231
24859;-4023943
24890;-4024025
24921;-4023961
24953;-4023552
24984;-4023736
25019;-4023500
25051;-4023380
25116;-4022882
25116;-4023085
25116;-4023192
25214;-4022548
25247;-4022756
25247;-4022745
25279;-4022566
25345;-4022463
25375;-4022413
25407;-4022396
25440;-4022303
25472;-4022337
25505;-4022172
25538;-4021957
25538;-4021863
25603;-4021818
25633;-4021749
25665;-4021515
25698;-4021490
25793;-4021211
25793;-4021182
25826;-4021220
25888;-4021220
25951;-4021260
25953;-4021235
25983;-4021111
26017;-4020740
26082;-4020807
26116;-4020834
26181;-4020755
26213;-4020879
26247;-4020806
26278;-4020755
26343;-4020791
26343;-4020646
26409;-4020727
26474;-4020754
26508;-4020642
26539;-4020606
26639;-4020371
26670;-4020386
26732;-4020347
26767;-4020489
26798;-4020377
26860;-4020134
26894;-4020061
26957;-4019808
27023;-4020099
27056;-4019953
27121;-4019986
27189;-4020025
27222;-4019629
27320;-4018314
27356;-4019347
27418;-4019895
27451;-4019755
27551;-4019886
27584;-4019795
27614;-4019871
27712;-4019889
27744;-4019932
27810;-4020121
27875;-4020296
27940;-4020364
28006;-4020460
28071;-4020615
28136;-4020651
28204;-4020653
28269;-4020690
28371;-4020733
28436;-4020459
28470;-4020768
28569;-4020986
28600;-4021399
28668;-4021811
28801;-4022376
28863;-4022670
28894;-4022743
28962;-4022782
29061;-4022868
29164;-4022806
29229;-4023045
29293;-4023158
29393;-4023293
29429;-4023319
29561;-4023521
29596;-4023343
29661;-4023250
29693;-4023538
29829;-4023894
29858;-4024196
29990;-4024782
30090;-4025353
30191;-4025545
30295;-4025695
30392;-4025995
30530;-4026296
30560;-4026645
30664;-4026923
30755;-4027219
30895;-4027561
31021;-4027698
31095;-4027822
31200;-4028244
31299;-4028659
31436;-4028749
31538;-4028969
31672;-4029379
31742;-4029648
31841;-4030060
31940;-4030271
31975;-4030598
32113;-4031165
32251;-4031407
32350;-4031951
32456;-4032416
32562;-4033117
32697;-4033744
32828;-4034290
32963;-4035411
33068;-4035608
33206;-4036443
33347;-4037073
33553;-4037946
33690;-4038969
33862;-4039799
33965;-4040896
34111;-4041996
34210;-4042755
34392;-4043811
34531;-4044671
34638;-4045430
34777;-4046062
34984;-4046686
35161;-4047304
35331;-4045808
35481;-4046732
35659;-4044717
35834;-4049526
35933;-4055518
36185;-4056479
36262;-4058189
36474;-4059839
36616;-4061647
36862;-4062471
37363;-4069532
37506;-4072052
37798;-4073608
38018;-4075813
38205;-4078440
38420;-4082194
38574;-4084397
38831;-4088021
38985;-4091565
39282;-4092743
39390;-4099379
39575;-4103837
39907;-4109340
40096;-4114085
40314;-4119599
40563;-4127096
40781;-4133897
41057;-4140605
41289;-4150344
41584;-4159221
41773;-4170667
42016;-4182633
42280;-4195601
42565;-4211728
42824;-4228006
43056;-4246834
43375;-4267289
43732;-4286561
