reference_pressure;hx711 10,1,1,1,1,
22245;-7880148
22245;-7732911
22245;-7312730
22274;-8388608
22274;-8388608
22274;-8388608
22274;-8388608
22274;-8388608
22274;-8388608
22274;-8322858
22274;-8273351
22274;-8223950
22274;-8076216
22274;-8027244
22274;-7978294
22274;-7929158
22274;-7782155
22274;-7683102
22274;-6919048
22274;-6745204
22274;-6379034
22274;-6172825
22274;-4451809
22274;-4425625
22274;-4405065
22276;-8388608
22276;-8388608
22276;-8388608
22276;-8388608
22276;-8388608
22276;-8388608
22276;-8388608
22276;-8388608
22276;-8388608
22276;-8388608
22276;-8388608
22276;-8388608
22276;-8372266
22276;-8174704
22276;-8125382
22276;-7831232
22276;-7633159
22276;-7582572
22276;-7531264
22276;-7480160
22276;-7425159
22276;-7254515
22276;-7194152
22276;-7130985
22276;-7064696
22276;-6836615
22276;-6521862
22276;-4580810
22276;-4507050
22276;-4488462
22276;-4474264
22276;-4462288
22276;-4442403
22276;-4433938
22276;-4418318
22279;-6641477
22279;-4411424
22305;-7369482
22307;-8388608
22307;-8388608
22307;-8388608
22307;-8388608
22307;-6994558
22307;-4531057
