reference_pressure;hx711 10,1,1,1,1,
26147;-3062653
26215;-3064741
26215;-3063645
26312;-3065161
26377;-3067818
26377;-3067265
26443;-3068938
26474;-3070718
26539;-3071953
26573;-3071462
26639;-3072608
26639;-3071997
26670;-3073400
26735;-3073089
26767;-3074573
26798;-3075476
26860;-3075843
26894;-3076793
26960;-3077726
27023;-3078326
27056;-3079319
27089;-3079581
27154;-3080840
27189;-3081567
27255;-3082650
27320;-3083718
27356;-3084659
27418;-3085863
27451;-3086842
27516;-3088190
27581;-3088800
27646;-3090438
27679;-3090937
27744;-3092649
27810;-3093837
27875;-3094421
27940;-3095172
27970;-3096588
28040;-3097582
28105;-3098606
28136;-3099638
28204;-3101162
28303;-3102486
28371;-3103236
28402;-3104265
28470;-3105801
28538;-3107189
28600;-3108378
28665;-3109261
28764;-3110514
28798;-3112835
28863;-3114329
28928;-3115821
28993;-3116912
29096;-3118425
29158;-3120236
29261;-3121308
29332;-3122880
29432;-3124809
29493;-3126811
29564;-3128929
29696;-3130357
29761;-3132174
29825;-3134072
29925;-3135660
30023;-3137787
30124;-3139878
30228;-3142040
30325;-3144363
30392;-3146518
30530;-3148266
30597;-3150501
30664;-3152321
30758;-3155579
30859;-3158162
30963;-3161255
31098;-3163461
31197;-3165368
31299;-3168431
31373;-3171708
31468;-3174818
31605;-3176022
31707;-3179897
31841;-3183138
31940;-3185761
32076;-3189095
32186;-3192987
32288;-3195333
32423;-3199539
32558;-3203524
32795;-3210300
32901;-3213389
33030;-3217340
33171;-3220214
33316;-3226436
33416;-3230414
33553;-3234201
33698;-3237840
33862;-3244292
34000;-3248121
34142;-3252069
34289;-3257685
34464;-3263183
34638;-3267320
34769;-3274312
35049;-3284455
35228;-3291271
35448;-3297655
35547;-3302991
35792;-3310426
35933;-3316468
36047;-3323829
36228;-3330023
36400;-3336660
36650;-3345037
36827;-3352790
37013;-3361234
37188;-3370407
37336;-3381081
37587;-3391083
37766;-3398439
37991;-3410933
38205;-3421365
38327;-3435362
38537;-3444880
38864;-3461312
39087;-3472012
39282;-3485729
39536;-3499761
39721;-3515630
39946;-3528503
40213;-3547209
40477;-3554154
40639;-3572334
40928;-3591646
41210;-3610557
41394;-3631742
41657;-3649803
41926;-3658620
42170;-3672084
42527;-3680905
42747;-3702114
43056;-3732770
43255;-3772973
43534;-3813460
43806;-3867319
44125;-3927044
44208;-4098222
44291;-3956552
