reference_pressure;hx711 10,1,1,1,1,
25019;-6978611
25019;-6977359
25051;-6979830
25084;-6981547
25116;-6983283
25116;-6981131
25149;-6984869
25214;-6988285
25214;-6986856
25247;-6990975
25247;-6989456
25279;-6992177
25342;-6993932
25375;-6995202
25407;-6998484
25407;-6997042
25440;-7000033
25472;-7000829
25505;-7002273
25538;-7003521
25570;-7005107
25633;-7008076
25665;-7009880
25698;-7011465
25730;-7013099
25760;-7014766
25826;-7019930
25826;-7018529
25826;-7016543
25921;-7023201
25921;-7021262
25953;-7025374
25983;-7026679
26048;-7028319
26082;-7031525
26082;-7029992
26147;-7033411
26213;-7035996
26247;-7037621
26278;-7039987
26343;-7042212
26377;-7044566
26474;-7048759
26477;-7046811
26508;-7050929
26571;-7053401
26605;-7055549
26670;-7058116
26701;-7060199
26735;-7062723
26798;-7065041
26863;-7067601
26894;-7069894
26926;-7072488
27023;-7075192
27056;-7077662
27089;-7079898
27189;-7082715
27201;-7085229
27284;-7087696
27323;-7090784
27353;-7093261
27418;-7096238
27483;-7098714
27581;-7104103
27584;-7101650
27649;-7107094
27712;-7110267
27777;-7113122
27875;-7115791
27940;-7118454
28003;-7121711
28006;-7125009
28136;-7127743
28170;-7130872
28238;-7134017
28306;-7137018
28402;-7140188
28436;-7143677
28535;-7147156
28634;-7150365
28665;-7153349
28733;-7157142
28798;-7160509
28897;-7163582
28993;-7167139
29061;-7170567
29093;-7174603
29193;-7177858
29264;-7181578
29393;-7185253
29432;-7188700
29529;-7193434
29593;-7196963
29696;-7200988
29793;-7204414
29858;-7208895
29954;-7212661
30023;-7217185
30127;-7221259
30194;-7225020
30288;-7229613
30395;-7233524
30493;-7238171
30597;-7242984
30661;-7246778
30758;-7252270
30862;-7256389
30963;-7261159
31095;-7265348
31161;-7270682
31264;-7275245
31366;-7280374
31507;-7284914
31570;-7290200
31672;-7295400
31841;-7300788
31908;-7306176
32047;-7311383
32145;-7317209
32288;-7322868
32423;-7328084
32525;-7334040
32627;-7339155
32733;-7345812
32897;-7350863
32963;-7356732
33137;-7363872
33248;-7369527
33381;-7375756
33519;-7382625
33629;-7387924
33793;-7395265
33862;-7401946
34035;-7408023
34174;-7416224
34317;-7421923
34492;-7429765
34595;-7436586
34742;-7444239
34944;-7451458
35016;-7459074
35190;-7466799
35369;-7474668
35518;-7482989
35618;-7490790
35863;-7498841
36038;-7507227
36150;-7516440
36293;-7524168
36534;-7533365
36685;-7541683
36827;-7550718
37049;-7559980
37161;-7569420
37408;-7579279
37596;-7587679
37784;-7597380
37910;-7606572
38177;-7618791
38280;-7628631
38537;-7638685
38757;-7651323
38864;-7661261
39160;-7672918
39360;-7684631
39536;-7696626
39800;-7708442
40096;-7721331
40248;-7731469
40441;-7745240
40670;-7758157
40817;-7771146
41084;-7782988
41394;-7797083
41584;-7810214
41810;-7823489
42016;-7838440
42329;-7850154
42538;-7864251
42824;-7875238
43056;-7881268
43426;-7882696
