reference_pressure;hx711 10,1,1,1,1,
25921;-6575412
25921;-6573674
25951;-6576880
26017;-6578565
26048;-6580099
26082;-6583512
26082;-6581660
26181;-6584931
26213;-6586757
26247;-6588391
26312;-6591498
26312;-6590088
26346;-6593130
26409;-6594976
26443;-6596508
26474;-6598344
26539;-6600139
26571;-6601850
26636;-6603810
26670;-6605543
26701;-6607169
26767;-6609109
26798;-6611101
26860;-6612855
26894;-6616959
26894;-6615076
26960;-6619062
27023;-6620957
27089;-6622876
27157;-6625330
27189;-6627010
27222;-6628884
27287;-6631298
27356;-6633248
27451;-6635114
27454;-6637881
27483;-6639911
27551;-6642048
27617;-6644479
27679;-6646405
27715;-6649007
27777;-6651202
27810;-6653827
27875;-6656346
27973;-6658554
28006;-6661288
28105;-6663832
28139;-6665984
28238;-6668608
28272;-6671018
28371;-6673803
28405;-6676493
28470;-6679120
28569;-6681752
28634;-6684165
28767;-6688591
28798;-6691866
28863;-6694984
28959;-6698145
29029;-6701546
29125;-6704795
29193;-6702437
29261;-6706025
29329;-6709285
29396;-6712237
29529;-6715469
29564;-6718775
29667;-6722222
29729;-6725615
29829;-6728732
29925;-6732483
29958;-6735997
30057;-6739514
30124;-6742766
30228;-6746684
30328;-6750037
30429;-6753645
30530;-6757170
30597;-6761013
30694;-6764785
30795;-6768759
30892;-6772642
30956;-6776596
31059;-6780795
31165;-6785046
31235;-6789124
31373;-6793260
31503;-6797912
31573;-6802195
31707;-6806519
31848;-6811363
31947;-6816617
32153;-6822302
32215;-6826497
32284;-6832306
32496;-6837802
32598;-6843602
32664;-6848842
32832;-6854695
32930;-6859649
33068;-6865766
33206;-6871874
33381;-6880671
33488;-6888537
33656;-6894242
33725;-6900528
33931;-6906663
34039;-6913429
34174;-6920923
34317;-6926719
34567;-6934534
34630;-6941271
34769;-6948019
34984;-6954820
35161;-6962934
35439;-6970569
35622;-6977612
35763;-6985411
35792;-6994101
36012;-7002485
36185;-7010125
36301;-7019296
36508;-7027338
36719;-7037223
36836;-7046424
37040;-7055610
37269;-7063828
37417;-7075306
37632;-7084443
37739;-7094781
37919;-7104562
38214;-7116156
38392;-7125904
38537;-7137013
38766;-7148353
38939;-7159847
39160;-7171681
39400;-7183879
39687;-7196731
39917;-7207209
40071;-7220272
40248;-7233157
40563;-7245098
40857;-7257854
40969;-7271589
41263;-7272693
41547;-7285626
41736;-7297623
42016;-7310890
42291;-7325718
42554;-7320115
42862;-7313145
42989;-7313735
43255;-7307418
43505;-7315495
43806;-7316202
44142;-7301364
44345;-7324085
44571;-7290036
