reference_pressure;adc_opamp 10,1,1,1,7,;adc_opamp 10,1,1,1,8,;adc_opamp 10,3,1,1,7,;adc_opamp 10,3,1,1,8,;adc_opamp 11,1,1,1,7,;adc_opamp 11,1,1,1,8,;adc_opamp 11,3,1,1,7,;adc_opamp 11,3,1,1,8,;adc_opamp 13,1,1,1,7,;adc_opamp 13,1,1,1,8,;adc_opamp 13,3,1,1,7,;adc_opamp 13,3,1,1,8,;adc_opamp 14,1,1,1,7,;adc_opamp 14,1,1,1,8,;adc_opamp 14,5,1,1,7,;adc_opamp 14,5,1,1,8,;adc_opamp 14,7,1,1,7,;adc_opamp 14,7,1,1,8,;adc_opamp 15,1,1,1,7,;adc_opamp 15,1,1,1,8,;adc_opamp 15,4,4,4,7,;adc_opamp 15,4,4,4,8,;adc_opamp 9,3,1,1,7,;adc_opamp 9,3,1,1,8,;adc_opamp 9,5,1,1,7,;adc_opamp 9,5,1,1,8,;adc_opamp 9,7,1,1,7,;adc_opamp 9,7,1,1,8,;hx711 10,1,1,1,0,;hx711 10,1,1,1,1,;hx711 10,3,1,1,0,;hx711 10,3,1,1,1,;hx711 11,1,1,1,0,;hx711 11,1,1,1,1,;hx711 11,3,1,1,0,;hx711 11,3,1,1,1,;hx711 13,1,1,1,0,;hx711 13,1,1,1,1,;hx711 13,3,1,1,0,;hx711 13,3,1,1,1,;hx711 14,1,1,1,0,;hx711 14,1,1,1,1,;hx711 14,5,1,1,0,;hx711 14,5,1,1,1,;hx711 14,7,1,1,0,;hx711 14,7,1,1,1,;hx711 15,1,1,1,0,;hx711 15,1,1,1,1,;hx711 15,4,4,4,0,;hx711 15,4,4,4,1,;hx711 9,3,1,1,0,;hx711 9,3,1,1,1,;hx711 9,5,1,1,0,;hx711 9,5,1,1,1,;hx711 9,7,1,1,0,;hx711 9,7,1,1,1,
220;1419;2769;-705;-1544;3990;4027;2148;3998;3942;4025;1735;3289;2274;4003;;1539;1224;2361;4018;4033;4006;4030;-2274;-4012;-1786;-3440;-1354;-2625;-2831520;-2841339;1634927;1629704;-8388608;-8388608;-4447674;-4455794;-7823108;-7828212;-3343447;-3358146;-4468638;-4472877;-1569013;-1575239;-2415473;-2419312;-8388608;-8388608;-8388608;-8388608;5062676;5070451;3471347;3471842;2654410;2656851
240;1603;3129;-607;-1367;3994;4026;2272;4003;3984;4026;1859;3554;2443;4010;921;1732;1332;2596;4018;4032;4006;4030;-2360;-4013;-1847;-3576;-1397;-2693;-3201211;-3208183;1427285;1423146;-8388608;-8388608;-4673003;-4671759;-8222485;-8231440;-3601196;;-4791469;-4796556;-1764006;-1765040;-2649510;-2648322;-8388608;-8388608;-8388608;-8388608;5235931;5240216;3585897;3585096;2727254;2730463
260;1797;3547;-496;-1136;3998;4028;2382;4008;3995;4027;1991;3832;2587;4012;965;1760;1364;2667;4018;4031;4007;4030;-2448;-4015;-1906;-3689;-1448;-2783;-3609969;-3618089;1193106;1185876;-8388608;-8388608;-4884125;-4882169;-8388608;-8388608;-3867705;-3878593;-5052484;-5052978;-1798810;-1795111;-2715568;-2719334;-8388608;-8388608;-8388608;-8388608;5408893;5422101;3704929;3707635;2802295;2805042
280;2006;3793;-376;-887;4003;4028;2454;4008;3999;4028;2114;3978;2599;4013;930;1680;1328;2567;4018;4031;4007;4030;-2549;-4016;-1962;-3794;-1493;-2869;-4044488;-4053199;941657;932028;-8388608;-8388608;-5028843;-5035891;-8388608;-8388608;-4116382;-4129461;-5112634;-5114220;-1717587;-1717568;-2642124;-2635352;-8388608;-8388608;-8388608;-8388608;5601780;5605274;3813458;3813757;2876820;2879215
280;1919;;-438;-994;3999;4027;2282;4004;3995;4026;1944;3728;2241;4002;823;1519;1329;2580;;4032;4006;4030;-2415;-4013;-1691;-3247;-1114;-2154;-3840590;-3840642;1056272;1056482;-8388608;-8388608;-4655793;-4655901;-8388608;-8388608;-3781232;-3781490;-4354537;-4353022;-1527739;-1527374;-2620288;-2618859;-8388608;-8388608;-8388608;-8388608;5343295;5343671;3274958;3273780;2178449;2179347
282;1944;3833;-420;-964;3999;4028;2286;4005;3996;4027;1967;3788;2243;4001;836;1529;1321;2553;;4033;4007;4029;-2425;-4014;-1694;-3236;-1133;-2196;-3895325;-3895550;1031088;1031512;-8388608;-8388608;-4688045;-4687934;-8388608;-8388608;-3815912;-3815152;-4378815;-4377479;-1552070;-1551805;-2608132;-2606809;-8388608;-8388608;-8388608;-8388608;5375068;5375524;3276331;3275155;2216619;2217655
285;1980;3898;-414;-945;4001;4028;2319;4005;3996;4027;1980;3809;2265;4003;854;1559;1314;2553;4018;4032;4006;4030;-2448;-4015;-1705;-3262;-1158;-2256;-3961754;-3961717;1001637;1001988;-8388608;-8388608;-4724399;-4724951;-8388608;-8388608;-3855618;;-4407632;-4406288;-1580743;-1580567;-2593417;-2591763;-8388608;-8388608;-8388608;-8388608;5411227;5411965;3276522;3275087;2260809;2261888
288;1992;3923;-399;-932;4001;4027;2329;4005;3996;4028;1999;3847;2272;4002;872;1588;1313;2541;;4033;4006;4029;-2459;-4014;-1692;-3262;-1175;-2276;-4008689;-4008567;980730;980194;-8388608;-8388608;-4752029;-4752417;-8388608;-8388608;-3882918;;-4427267;-4425233;-1601387;-1600835;-2582181;-2581638;-8388608;-8388608;-8388608;-8388608;5439544;5440139;3275995;3274850;2292117;2292639
290;2017;3952;-391;-895;4002;4027;2345;4007;3998;4028;1998;3858;2276;4003;868;1579;1291;2503;4017;4032;4006;4030;-2473;-4015;-1699;-3244;-1186;-2302;-4049099;-4048885;960463;960055;-8388608;-8388608;-4776203;-4776513;-8388608;-8388608;-3909545;-3910277;-4442312;-4440959;-1619110;-1618469;-2569653;-2569065;-8388608;-8388608;-8388608;-8388608;5458292;5458727;3273511;3272975;2321558;2322731
292;2030;3971;-385;-880;4003;4028;2356;4005;3997;4027;2019;3899;2299;4004;886;1604;1297;2513;4018;4032;4005;4030;-2479;-4015;-1688;-3238;-1198;-2317;-4080726;-4080869;948887;947727;-8388608;-8388608;-4791734;-4790255;-8388608;-8388608;-3927311;-3925547;-4455116;-4453857;-1632374;-1631365;-2560625;-2558764;-8388608;-8388608;-8388608;-8388608;5476639;5477922;3272267;3270851;2343957;2344847
