reference_pressure;hx711 10,1,1,1,1,
27255;-8286334
27255;-8287573
27320;-8286114
27353;-8284848
27418;-8284012
27451;-8283267
27483;-8282807
27548;-8283305
27584;-8282726
27617;-8281203
27679;-8279511
27712;-8276971
27744;-8276606
27842;-8276040
27875;-8275714
27940;-8273336
27940;-8274740
28006;-8272322
28068;-8270781
28136;-8267269
28136;-8268421
28238;-8266471
28303;-8265920
28371;-8264312
28433;-8262815
28470;-8262041
28535;-8261335
28569;-8260708
28634;-8259538
28665;-8258659
28733;-8258392
28795;-8257262
28863;-8258499
28928;-8258861
28990;-8259114
29061;-8259958
29164;-8260570
29229;-8259982
29261;-8256984
29332;-8253098
29429;-8252839
29493;-8253847
29561;-8253701
29661;-8252263
29725;-8252112
29758;-8250908
29825;-8249656
29922;-8248339
29990;-8246534
30093;-8243951
30124;-8243192
30258;-8242970
30328;-8242259
30392;-8241402
30459;-8240598
30526;-8240103
30664;-8239334
30694;-8239858
30791;-8240454
30862;-8239630
30986;-8239372
31024;-8237239
31161;-8234989
31264;-8231825
31334;-8228170
31436;-8228201
31538;-8228645
31602;-8228922
31707;-8227533
31841;-8225004
31940;-8225160
32007;-8227062
32116;-8226914
32218;-8226359
32354;-8227185
32423;-8226185
32529;-8226018
32620;-8223093
32762;-8219852
32868;-8220899
32963;-8219983
33103;-8220129
33206;-8219808
33339;-8220438
33484;-8219227
33622;-8217933
33725;-8215781
33858;-8214993
34000;-8212701
34142;-8213655
34242;-8214567
34353;-8213963
34527;-8212760
34630;-8211825
34805;-8211926
34944;-8211882
35082;-8211344
35190;-8212309
35331;-8212629
35510;-8211850
35651;-8209934
35821;-8206912
35966;-8204077
36112;-8201256
36301;-8201966
36474;-8202014
36642;-8202797
36823;-8201615
37004;-8202939
37152;-8202442
37300;-8200333
37479;-8198418
37739;-8192480
37874;-8190728
38093;-8191100
38242;-8189166
38500;-8189511
38691;-8187550
38864;-8183786
39039;-8181495
39229;-8179846
39463;-8177351
39624;-8176568
39907;-8177271
40086;-8173450
40314;-8166491
40441;-8163834
40817;-8155462
40928;-8153337
41163;-8148077
41431;-8142234
41700;-8135227
41915;-8131244
42241;-8123346
42461;-8119012
42708;-8113657
43056;-8113144
