reference_pressure;hx711 10,1,1,1,1,
23389;-7270107
23453;-7271801
23453;-7269863
23453;-7272150
23486;-7274024
23486;-7273344
23486;-7272575
23486;-7271252
23518;-7275369
23518;-7274637
23518;-7273999
23548;-7276723
23551;-7278121
23551;-7277309
23551;-7276193
23551;-7275806
23581;-7278830
23613;-7279606
23613;-7279240
23645;-7283343
23645;-7282692
23645;-7282142
23645;-7281294
23645;-7280854
23645;-7279946
23678;-7283785
23708;-7284192
23740;-7285433
23740;-7284741
23740;-7284686
23770;-7286182
23770;-7285205
23773;-7286758
23773;-7285687
23802;-7289035
23802;-7288057
23802;-7287200
23835;-7290650
23835;-7289592
23865;-7291662
23865;-7291137
23865;-7290039
23897;-7293796
23897;-7293275
23897;-7292410
23927;-7294531
23930;-7295488
23960;-7296579
23992;-7298889
23992;-7297294
24023;-7302202
24023;-7300723
24023;-7299857
24057;-7301665
24088;-7303654
24088;-7302674
24153;-7306679
24153;-7305678
24153;-7304868
24187;-7308260
24187;-7307553
24218;-7308696
24252;-7309665
24252;-7309033
24283;-7310239
24317;-7310944
24348;-7313449
24348;-7312325
24348;-7311604
24380;-7315496
24380;-7314327
24445;-7318299
24445;-7317474
24445;-7316628
24476;-7319104
24507;-7320056
24510;-7321239
24572;-7324258
24572;-7323155
24572;-7322289
24638;-7326223
24638;-7325475
24669;-7328748
24669;-7327446
24700;-7329746
24731;-7331003
24763;-7332268
24765;-7333158
24828;-7334823
24859;-7338922
24859;-7336544
24859;-7335093
24921;-7337736
24953;-7340115
24984;-7342136
24984;-7341048
25019;-7343581
25051;-7344250
25084;-7345542
25116;-7347603
25116;-7346271
25182;-7348227
25182;-7347596
25247;-7350787
25247;-7349169
25279;-7352244
25279;-7352337
25345;-7352990
25375;-7354724
25407;-7356592
25440;-7357357
25472;-7358380
25505;-7359115
25538;-7360514
25570;-7361073
25603;-7361376
25665;-7362183
25698;-7363552
25698;-7363030
25760;-7363902
25793;-7362811
25793;-7363472
