reference_pressure;hx711 10,1,1,1,1,
24638;-4459185
24638;-4459781
24700;-4458749
24731;-4458286
24781;-4457932
24796;-4457423
24859;-4456186
24859;-4456769
24890;-4455756
24953;-4455307
24984;-4455014
25019;-4454785
25084;-4454589
25116;-4454735
25149;-4454512
25182;-4454191
25247;-4454014
25279;-4453547
25342;-4453275
25345;-4453343
25407;-4453412
25472;-4453201
25538;-4453051
25603;-4452419
25603;-4452767
25665;-4452172
25698;-4452016
25760;-4452018
25793;-4451750
25855;-4451579
25921;-4451539
25953;-4451378
25983;-4451603
26082;-4451547
26116;-4451524
26181;-4451394
26247;-4451009
26278;-4450966
26343;-4451036
26377;-4450969
26443;-4450711
26508;-4450903
26571;-4450697
26636;-4450820
26670;-4450608
26767;-4450409
26798;-4449924
26860;-4449918
26960;-4449685
27023;-4449706
27056;-4449474
27124;-4449431
27189;-4449281
27255;-4449272
27320;-4449161
27353;-4449126
27451;-4448994
27486;-4449232
27581;-4449197
27679;-4449028
27744;-4448982
27810;-4448894
27875;-4448945
27973;-4448808
28074;-4449112
28105;-4449054
28170;-4449133
28272;-4449577
28371;-4449653
28436;-4449376
28538;-4449484
28569;-4449514
28665;-4449485
28733;-4449415
28863;-4449940
28962;-4450552
29061;-4451129
29129;-4451219
29229;-4451218
29429;-4451307
29532;-4451282
29593;-4451685
29722;-4452104
29793;-4452195
29890;-4452224
29990;-4452248
30124;-4452158
30224;-4452823
30258;-4452836
30426;-4453291
30526;-4452769
30597;-4453516
30694;-4453652
30859;-4453978
30963;-4454493
31095;-4454911
31232;-4455499
31299;-4455987
31404;-4455975
31542;-4456632
31714;-4456962
31813;-4456805
31908;-4457295
32007;-4457378
32182;-4458348
32317;-4459291
32452;-4459605
32591;-4461062
32697;-4461385
32861;-4461756
32967;-4462563
33106;-4463485
33278;-4464123
33454;-4464799
33583;-4466185
33690;-4467178
33862;-4468276
34000;-4469100
34142;-4469925
34289;-4470596
34496;-4471988
34638;-4473105
34809;-4474386
35261;-4478796
35506;-4479864
35651;-4481381
35834;-4482620
35975;-4483783
36193;-4486301
36327;-4488059
36577;-4489869
36685;-4491503
36900;-4493466
37085;-4496316
37304;-4498589
37488;-4500861
37704;-4502609
37847;-4504667
38130;-4507526
38280;-4511320
38537;-4514362
38719;-4516503
38985;-4520794
39160;-4523866
39434;-4528343
39648;-4532029
39907;-4536004
40106;-4541945
40385;-4546827
40593;-4552792
40893;-4558518
41084;-4565041
41363;-4573322
41584;-4580782
41852;-4591016
42159;-4601603
42434;-4613947
42604;-4627978
42901;-4646905
43136;-4667060
43426;-4691416
43732;-4718577
44017;-4745870
44303;-4766565
