reference_pressure;adc_opamp 10,3,1,1,7,;adc_opamp 11,3,1,1,7,;adc_opamp 13,3,1,1,7,;adc_opamp 14,5,1,1,7,;adc_opamp 14,7,1,1,7,;hx711 10,3,1,1,1,;hx711 11,3,1,1,1,;hx711 13,3,1,1,1,;hx711 14,5,1,1,1,;hx711 14,7,1,1,1,
0;-1698;1049;501;-375;-223;3459504;-2108683;-962111;694348;398226
20;-1673;1086;544;-349;-223;3386820;-2195800;-1062571;620864;367237
40;-1602;1163;645;-262;-105;3227194;-2369970;-1252190;471353;165945
60;-1496;1276;770;-160;20;3013853;-2596275;-1502913;267979;-59750
80;-1424;1370;867;-75;107;2858058;-2764548;-1687917;117803;-224889
100;-1329;1464;975;14;218;2664232;-2970933;-1915037;-58435;-409636
120;-1243;1556;1084;119;302;2489774;-3165735;-2128814;-223045;-568742
140;-1157;1654;1188;210;388;2308522;-3365437;-2346836;-390967;-744524
160;-1057;1760;1300;311;497;2108081;-3591075;-2586134;-584530;-958668
180;-966;1869;1409;403;613;1924940;-3790230;-2804606;-763252;-1156816
200;-873;1968;1532;494;718;1734931;-3991439;-3029657;-950266;-1372709
220;-782;2065;1631;583;821;1557781;-4181648;-3244066;-1119420;-1588238
240;-692;2174;1748;683;952;1355409;-4392865;-3478592;-1310389;-1845514
260;-601;2279;1849;767;1071;1168905;-4595673;-3701014;-1480460;-2092145
280;-430;2464;2043;922;1306;814986;-4962618;-4097136;-1789809;-2549969
320;-335;2559;2151;990;1400;627466;-5144513;-4304503;-1924957;-2754636
