reference_pressure;hx711 10,1,1,1,1,
25440;-5872463
25505;-5872959
25633;-5874675
25665;-5872689
25665;-5874030
25698;-5871629
25730;-5870855
25760;-5870176
25793;-5869285
25855;-5868816
25855;-5868726
25953;-5868945
25953;-5868584
25983;-5868587
26048;-5868064
26082;-5866713
26082;-5867100
26147;-5866360
26213;-5865762
26247;-5865263
26281;-5864862
26346;-5864091
26346;-5864487
26409;-5863108
26443;-5862024
26508;-5860121
26508;-5860345
26605;-5859715
26639;-5859539
26670;-5858397
26735;-5857756
26767;-5857463
26829;-5856978
26926;-5856852
26957;-5855692
26988;-5855829
27056;-5855771
27157;-5854931
27189;-5854900
27255;-5855105
27320;-5855067
27356;-5854859
27421;-5854264
27516;-5853504
27584;-5853582
27649;-5853244
27712;-5853013
27744;-5853413
27810;-5853215
27875;-5852496
27940;-5851402
28003;-5851721
28071;-5851540
28173;-5852162
28238;-5850881
28371;-5851150
28436;-5850662
28436;-5850949
28535;-5850286
28600;-5850416
28699;-5850144
28733;-5849796
28863;-5849247
28928;-5848805
28993;-5848848
29096;-5848845
29164;-5848497
29261;-5848154
29329;-5847812
29432;-5847939
29529;-5847184
29596;-5847035
29693;-5847154
29793;-5846829
29825;-5846996
29954;-5846922
30023;-5846887
30127;-5846781
30228;-5846345
30365;-5846131
30426;-5846621
30530;-5846619
30593;-5846401
30953;-5846186
30989;-5846608
31126;-5846340
31232;-5846495
31338;-5846208
31468;-5846524
31570;-5846384
31672;-5847067
31841;-5846575
31908;-5847221
32007;-5847305
32145;-5847222
32251;-5846828
32390;-5847049
32525;-5847164
32627;-5847365
32762;-5847015
32901;-5848676
32996;-5847614
33137;-5848634
33278;-5848574
33416;-5848338
33561;-5848434
33690;-5848945
33828;-5848271
33965;-5849190
34142;-5849344
34246;-5849026
34428;-5849041
34563;-5849518
34702;-5849226
34837;-5850571
35016;-5851030
35161;-5850349
35331;-5850848
35518;-5852371
35651;-5853815
35829;-5853221
35995;-5854393
36185;-5854094
36327;-5853723
36543;-5855624
36685;-5855556
36862;-5856795
37040;-5857431
37260;-5858341
37479;-5859303
37623;-5860501
37811;-5860745
38018;-5860185
38242;-5863831
38392;-5863387
38640;-5865729
38822;-5866864
39009;-5864999
39239;-5870318
39434;-5871690
39648;-5874377
39946;-5875380
40137;-5877029
40390;-5878211
40593;-5880124
40827;-5881629
41057;-5883421
41289;-5887318
41547;-5891074
42269;-5900485
42604;-5901543
42758;-5905363
42939;-5904707
43232;-5907151
