reference_pressure;hx711 10,1,1,1,1,
25665;-4996404
25665;-4997968
25698;-4996279
25760;-4995102
25826;-4994817
25855;-4994021
25888;-4993738
25921;-4992400
26017;-4992181
26048;-4992235
26082;-4991253
26116;-4989482
26147;-4989170
26213;-4989279
26278;-4988492
26343;-4987043
26343;-4988031
26409;-4986821
26474;-4985372
26508;-4985089
26571;-4984052
26639;-4983912
26667;-4983876
26735;-4983316
26767;-4983198
26832;-4982698
26894;-4981800
26926;-4980236
26960;-4977531
26988;-4975801
27089;-4974788
27189;-4976460
27323;-4978107
27388;-4975371
27486;-4975392
27584;-4976900
27715;-4976448
27845;-4976019
28040;-4976617
28105;-4977181
28272;-4977248
28272;-4976964
28461;-4977557
28538;-4978653
28702;-4979847
28863;-4983146
28965;-4981725
29061;-4982205
29129;-4982354
29264;-4983603
29332;-4981675
29429;-4982252
29561;-4982010
29690;-4981769
29693;-4977473
29825;-4978006
29990;-4978545
30093;-4978835
30261;-4980193
30395;-4981110
30530;-4981239
30664;-4981164
30758;-4979620
30929;-4980349
31059;-4981836
31235;-4981976
31338;-4983493
31503;-4984700
31570;-4982458
31707;-4982853
31873;-4983054
31978;-4983512
32113;-4983074
32218;-4979608
32456;-4983433
32598;-4984275
32693;-4981983
32832;-4983673
33003;-4983655
33137;-4982739
33278;-4982155
33351;-4981403
33419;-4977654
33656;-4979706
33904;-4982271
34119;-4982548
34210;-4983468
34595;-4985775
34742;-4988441
34984;-4988246
35120;-4989321
35269;-4991594
35622;-4990367
35651;-4985932
35863;-4986979
36077;-4978586
36228;-4979733
36409;-4981586
36616;-4978062
36862;-4981915
37085;-4982793
37260;-4982199
37488;-4982836
37704;-4985495
37910;-4986515
38102;-4985979
38317;-4988378
38584;-4990244
38831;-4989309
38985;-4989787
39239;-4992235
39502;-4993586
39648;-4994744
40020;-4996236
40213;-4998014
40441;-5000750
40741;-5003864
40979;-5006410
41289;-5009751
41505;-5012617
41810;-5015077
41863;-5019514
42170;-5027544
42445;-5028333
42708;-5020570
43017;-5016739
43267;-5020420
43573;-5023684
