reference_pressure;hx711 10,1,1,1,1,
25633;-5703447
25665;-5702360
25698;-5700787
25698;-5701522
25760;-5700035
25793;-5699360
25826;-5698970
25888;-5698112
25888;-5698636
25921;-5697541
25951;-5697221
26017;-5696580
26048;-5696238
26082;-5694936
26082;-5695824
26181;-5694346
26213;-5693496
26215;-5693705
26278;-5693379
26312;-5693326
26377;-5691640
26377;-5692524
26443;-5691449
26474;-5691213
26539;-5690701
26571;-5690397
26636;-5689756
26670;-5689466
26701;-5688582
26767;-5686886
26767;-5687856
26829;-5686571
26894;-5686361
26926;-5685901
26957;-5685705
27023;-5685103
27089;-5684810
27121;-5683919
27154;-5683428
27189;-5682972
27287;-5682207
27320;-5681873
27385;-5681405
27418;-5680773
27451;-5680206
27516;-5679749
27581;-5679380
27649;-5678704
27712;-5678219
27715;-5677624
27777;-5677324
27842;-5676788
27908;-5676166
27940;-5675665
28003;-5675045
28105;-5674778
28136;-5674454
28204;-5674000
28272;-5673671
28337;-5672874
28402;-5672567
28439;-5672005
28535;-5672198
28569;-5671917
28665;-5671081
28733;-5670621
28798;-5669957
28863;-5669556
28928;-5669266
28993;-5668910
29061;-5668716
29129;-5668243
29229;-5667733
29293;-5667622
29364;-5666939
29464;-5666571
29529;-5666250
29593;-5665563
29693;-5665313
29758;-5665099
29825;-5664983
29922;-5664995
29990;-5664700
30093;-5663995
30154;-5663464
30255;-5663259
30325;-5663156
30429;-5663345
30530;-5663073
30593;-5662901
30664;-5662338
30791;-5661865
30892;-5661678
30989;-5661738
31091;-5661724
31165;-5661377
31260;-5661616
31373;-5661416
31468;-5661110
31538;-5660773
31672;-5660330
31774;-5660263
31880;-5660072
31975;-5660192
32076;-5659541
32215;-5659847
32284;-5659954
32423;-5660131
32525;-5659795
32660;-5660139
32762;-5660005
32861;-5659980
32963;-5659731
33095;-5659598
33213;-5659829
33347;-5660095
33446;-5660377
33587;-5660318
33725;-5660075
33862;-5659911
34000;-5660143
34107;-5660350
34289;-5660670
34420;-5660818
34527;-5661197
34666;-5661481
34805;-5661644
34948;-5662168
35161;-5662678
35228;-5663130
35398;-5663571
35547;-5663993
35688;-5664565
35863;-5665157
36004;-5665963
36150;-5666330
36327;-5667114
36508;-5667833
36650;-5668745
36844;-5669591
37004;-5670740
37152;-5671633
37300;-5672626
37479;-5673928
37690;-5675393
37838;-5676842
38009;-5678064
38242;-5679767
38612;-5683573
38785;-5685430
39009;-5687739
39200;-5690138
39390;-5692320
39648;-5695311
39824;-5698267
40020;-5701699
40238;-5705191
40441;-5709037
40629;-5713423
40857;-5718065
41110;-5723235
41315;-5729012
41584;-5735460
41736;-5742396
41963;-5750941
42241;-5759773
42434;-5771062
42670;-5787773
42901;-5816971
